MAX_DELAY, STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs, deltaTime, totalDelay, totalCancel, newFlight, taxiFlight
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2123,XA03_DATA,0,0,0,0,0,0,0,0,5482,403,0,1877251.15,28.35289073,1500,8,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2123,A08_6088590,0,0,0,0,0,0,0,0,5482,90,0,1156623.45,29.52397609,1500,3,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2123,A06_6088590,0,0,0,0,0,0,0,0,3877,0,0,35965.75,45.11985064,2580,0,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2123,A01_6088570,0,0,0,0,0,0,0,0,5281,0,0,31352.85,45.07046628,2580,0,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2125,A04_6088570,0,0,0,0,0,0,0,0,10963,354,0,449950.65,147.3757856,24180,1,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2125,A09_6088590,0,0,0,0,0,0,0,0,9365,265,0,517139.8,146.6272066,24180,1,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2132,B_06,0,0,0,0,0,0,0,0,13618,5474,0,20592662.65,543.4112599,15780,99,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2128,X02_DATA,0,0,0,0,0,0,0,0,0,673,45,1901354.9,325.5033398,0,8,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2145,B_01,0,0,0,0,0,0,0,0,14133,5645,0,17003379.9,621.0012872,15780,99,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2141,X01_DATA,0,0,0,0,0,0,0,0,14865,673,45,2494568.9,380.4646959,42240,8,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2141,X04_DATA,0,0,0,0,0,0,0,0,0,807,0,2610245.1,396.3239295,0,1,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2149,B_08,0,0,0,0,0,0,0,0,13958,5608,0,20313346.15,854.6265225,16800,95,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2149,XB01_DATA,0,0,0,0,0,0,0,0,16173,6905,57,19643490.15,846.1632645,19860,106,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2149,B_03,0,0,0,0,0,0,0,0,14813,5555,0,16875549.05,857.4349275,16800,95,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2149,XB03_DATA,0,0,0,0,0,0,0,0,15148,6955,103,25341882.95,868.1637776,19740,109,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2144,X03_DATA,0,0,0,0,0,0,0,0,19792,1616,0,5514912.2,547.0699921,55860,9,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2152,B_04,0,0,0,0,0,0,0,0,21103,7976,0,20282190.4,1078.75592,31140,127,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2153,B_09,0,0,0,0,0,0,0,0,18208,8123,0,24421705.85,1101.913659,31140,127,-1,-1
